,Text,Type,Mesh
2523,Incoordination,Disease,D001259
2524,Kcl,Chemical,D011189
2525,Analgesia,Disease,D000699
2526,Metrazol,Chemical,D010433
2527,Contrast media,Chemical,D003287
2528,Cin,Disease,D007674
2529,Cm,Chemical,D003287
2530,Iopromide,Chemical,C038192
2531,Cr,Chemical,D003404
2532,Injury to the kidney,Disease,D058186
2533,Failure of kidney function,Disease,D051437
2534,Loss of kidney function,Disease,D051437
2535,Renal injury,Disease,D058186
2536,Congenital heart diseases,Disease,D006331
2537,Ventricular ectopy,Disease,D018879
2538,Ethambutol,Chemical,D004977
2539,Optic neuropathy,Disease,D009901
2540,Axonal degeneration,Disease,D009410
2541,Emb,Chemical,D004977
2542,Visual deficits,Disease,D014786
2543,Optic neuropathies,Disease,D009901
2544,Valdecoxib,Chemical,C406224
2545,Naproxen,Chemical,D009288
2546,Sexual dysfunction,Disease,D020018
2547,Sexually dysfunctional,Disease,D020018
2548,A-86929,Chemical,C095427
2549,Parkinsonian,Disease,D020734
2550,Skf-82958,Chemical,C071262
2551,"6-chloro-7,8-dihydroxy-3-allyl-1-phenyl-2,3,4,5-tetrahydro-1h-3-benzaze pine hydrobromide",Chemical,C071262
2552,A-77636,Chemical,C079415
2553,"[1r, 3s] 3-[1'-admantyl]-1-aminomethyl-3,4-dihydro-5,6-dihydroxy-1h-2-benzo pyran hydrochloride",Chemical,C079415
2554,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",Chemical,D015632
2555,"[-]-[5ar,11bs]-4,5,5a,6,7,11b-hexahydro-2-propyl-3-thia-5-+ ++azacyclopent-1- ena[c]phenathrene-9-10-diol",Chemical,C095427
2556,Ly-171555,Chemical,C416545
2557,"[4ar-trans]-4,4a,5,6,7,8,8a,9-o-dihydro-5n-propyl-2h-pyrazo lo-3-4-quinoline hydrochloride",Chemical,C416545
2558,Parkinsonism,Disease,D020734
2559,Chloroprocaine,Chemical,C004616
2560,Cardiopulmonary arrest,Disease,D006323
2561,Ceroid lipofuscinosis,Disease,D009472
2562,Angiotensin-converting enzyme inhibitors,Chemical,D000806
2563,Atrioventricular block,Disease,D054537
2564,Sinus tachycardias,Disease,D013616
2565,Atrioventricular conduction delay,Disease,D054537
2566,Ap7,Chemical,C031231
2567,"N,n'-dibenzhydrylethane-1,2-diamine dihydrochloride",Chemical,C507346
2568,Amn082,Chemical,C507346
2569,Nimo,Chemical,D009553
2570,Ntg,Chemical,D005996
2571,Haemopericardium,Disease,D010490
2572,Gastrointestinal haemorrhage,Disease,D006471
2573,Flavonoids,Chemical,D005419
2574,Myocardial hyperactivity,Disease,D009202
2575,Ischaemic injury,Disease,D007511
2576,Fat,Chemical,D004041
2577,Obese,Disease,D009765
2578,Triglycerides,Chemical,D014280
2579,Obesity,Disease,D009765
2580,Ob,Disease,D009765
2581,Doxorubicinol,Chemical,C010013
2582,Amp,Chemical,D000249
2583,Sinus node dysfunction,Disease,D012804
2584,Atrioventricular (av) block,Disease,D054537
2585,Syncopal attacks,Disease,D013575
2586,Ziprasidone,Chemical,C092292
2587,Mangiferin,Chemical,C013592
2588,Polyphenol,Chemical,D059808
2589,Isph,Chemical,D007545
2590,Mi,Disease,D009203
2591,Uric acid,Chemical,D014527
2592,Triphenyl tetrazolium chloride,Chemical,C009591
2593,Ttc,Chemical,C009591
2594,Ischemic myocardium,Disease,D017202
2595,Vitamin c,Chemical,D001205
2596,Dimethyl sulphoxide,Chemical,D004121
2597,Remifentanil,Chemical,C071741
2598,Etomidate,Chemical,D005045
2599,Daidzein,Chemical,C004742
2600,Ad,Disease,D000544
2601,"4',7-dihydroxy-isoflavone",Chemical,C004742
2602,Pharyngitis,Disease,D010612
2603,Baclofen,Chemical,D001418
2604,Macrolide,Chemical,D018942
2605,Macrolides,Chemical,D018942
2606,Intracranial bleeding,Disease,D020300
2607,Glyceryl trinitrate,Chemical,D005996
2608,Migraine without aura,Disease,D020326
2609,Migraine with aura,Disease,D020325
2610,Gtn,Chemical,D005996
2611,Migraineurs,Disease,D008881
2612,Breast-cancer,Disease,D001943
2613,Vascular events,Disease,D014652
2614,Hypertriglyceridaemia,Disease,D015228
2615,Pupillary oscillation,Disease,D011681
2616,Paranoia,Disease,D010259
2617,Cip,Disease,D010259
2618,Crack cocaine,Chemical,D016578
2619,Crack,Chemical,D016578
2620,Levomepromazine,Chemical,D008728
2621,Fluvoxamine,Chemical,D016666
2622,Phenothiazines,Chemical,D010640
2623,Eaca,Chemical,D015119
2624,Sah,Disease,D013345
2625,Systemic mastocytosis,Disease,D034721
2626,Reye,Disease,D012202
2627,Reye syndrome,Disease,D012202
2628,Salicylate,Chemical,D012459
2629,Salicylates,Chemical,D012459
2630,St. anthony's fire,Disease,D004881
2631,Vasospasm,Disease,D014652
2632,Methysergide,Chemical,D008784
2633,Ergot,Chemical,D004876
2634,Migraine headache,Disease,D008881
2635,Hypokalemia,Disease,D007008
2636,Oxprenolol,Chemical,D010096
2637,"5,7-dihydroxytryptamine",Chemical,D015116
2638,"5,7-dht",Chemical,D015116
2639,Sexual side effects,Disease,D020018
2640,Male impotence,Disease,D007172
2641,Trichotillomania,Disease,D014256
2642,Affective disorders,Disease,D019964
2643,Dilevalol,Chemical,D007741
2644,Myocardial hypertrophy,Disease,D006332
2645,Homonymous hemianopsia,Disease,D006423
2646,Hematological abnormalities,Disease,D006402
2647,Left ventricular apical ballooning syndrome,Disease,D054549
2648,Takotsubo cardiomyopathy,Disease,D054549
2649,Apical ballooning,Disease,D054549
2650,Apical ballooning syndrome,Disease,D054549
2651,8-oh-dpat,Chemical,D017371
2652,Locomotor hyperactivity,Disease,D006948
2653,Iron dextran,Chemical,D007505
2654,Degeneration of dopaminergic neurons,Disease,D009410
2655,Leukocytoclastic vasculitis,Disease,C535509
2656,Coumarin,Chemical,C030123
2657,Lv,Disease,C535509
2658,Cutaneous small vessel vasculitis,Disease,C565222
2659,Skin eruptions,Disease,D012871
2660,Skin lesion,Disease,D012871
2661,Lv cutaneous lesions,Disease,D018366
2662,Spinal cord ischemia,Disease,D020760
2663,Aortic occlusion,Disease,D001157
2664,Spastic paraparesis,Disease,D020336
2665,Saxitoxin,Chemical,D012530
2666,Stx,Chemical,D012530
2667,Opioid addicts,Disease,D009293
2668,Hydromorphone,Chemical,D004091
2669,Ketorolac,Chemical,D020910
2670,Pain-intolerant,Disease,D006930
2671,Renal tubular dysfunction,Disease,D005198
2672,Estrogens,Chemical,D004967
2673,Inflammatory myopathy,Disease,D009220
2674,Non-insulin-dependent diabetes mellitus,Disease,D003924
2675,Autoimmune thyroiditis,Disease,D013967
2676,Dxr,Chemical,D004317
2677,Myocardial disease,Disease,D009202
2678,Chloramphenicol,Chemical,D002701
2679,Pancytopenia,Disease,D010198
2680,Bone marrow hypoplasia,Disease,D001855
2681,Trihexyphenidyl hydrochloride,Chemical,D014282
2682,Amphothericin b,Chemical,D000666
2683,Spiperone,Chemical,D013134
2684,Increased cardiac output,Disease,D016534
2685,Rise in resting blood pressure,Disease,D006973
2686,Suprofen,Chemical,D013496
2687,Acute declines in renal function,Disease,D058186
2688,Deoxycholic acid,Chemical,D003840
2689,Taurodeoxycholic acid,Chemical,D013657
2690,Sodium deoxycholate,Chemical,D003840
2691,Bile acid,Chemical,D001647
2692,Taurocholic acid,Chemical,D013656
2693,Digitalis glycosides,Chemical,D004071
2694,Left ventricular end-diastolic volume falls,Disease,D002303
2695,Prolongation of the qt interval,Disease,D008133
2696,Gastrointestinal motility disorders,Disease,D015835
2697,Prolongation of qt interval,Disease,D008133
2698,Sudden cardiac death,Disease,D016757
2699,Erythromycin,Chemical,D004917
2700,Azole,Chemical,D001393
2701,Gastroesophageal reflux disorder,Disease,D005764
2702,Qt-interval prolongation,Disease,D008133
2703,(insulin-dependent) diabetes mellitus,Disease,D003922
2704,Iddm,Disease,D003922
2705,Gastrointestinal (gi) toxicity,Disease,D005767
2706,Gi toxicity,Disease,D005767
2707,Post-transplant lmphoproliferate disease,Disease,D008232
2708,Ptld,Disease,D008232
2709,Netilmicin,Chemical,D009428
2710,Netilmicin sulfate,Chemical,D009428
2711,Piperacillin sodium,Chemical,D010878
2712,Piperacillin,Chemical,D010878
2713,Pgs,Chemical,D011453
2714,Flurothyl,Chemical,D005481
2715,Pentetrazol,Chemical,D010433
2716,Mefenamic acid,Chemical,D008528
2717,Meclofenamic acid,Chemical,D008469
2718,Fluorthyl,Chemical,D005481
2719,Amlodipine,Chemical,D017311
2720,Benazapril,Chemical,C044946
2721,Liver toxicity,Disease,D056486
2722,15-f(2t)-isoprostane,Chemical,C075750
2723,15-f(2t)-isop,Chemical,C075750
2724,Lipid hydroperoxides,Chemical,D008054
2725,Lpo,Chemical,D008054
2726,Thiobarbituric acid reactive substances,Chemical,D017392
2727,Tbars,Chemical,D017392
2728,Steatosis,Disease,D005234
2729,4-ene-vpa,Chemical,C045022
2730,"2,4-diene-vpa",Chemical,C556631
2731,Pheochromocytoma,Disease,D010673
2732,Amisulpride,Chemical,C012052
2733,Tiapride,Chemical,D063325
2734,Nicardipine,Chemical,D009529
2735,Benzamide,Chemical,C037689
2736,Hyperkinesia,Disease,D006948
2737,Stereotypies,Disease,D019956
2738,Asystolic,Disease,D006323
2739,Isosorbide,Chemical,D007547
2740,Nitrate,Chemical,D009566
2741,Fenoprofen calcium,Chemical,D005279
2742,Gold,Chemical,D006046
2743,Beta-adrenergic blocking drugs,Chemical,D000319
2744,Ischaemic heart disease,Disease,D017202
2745,Cardiac failure,Disease,D006333
2746,Bendrofluazide,Chemical,D001539
2747,Impaired glucose tolerance,Disease,D018149
2748,Raynaud's phenomenon,Disease,D011928
2749,Corneal disease,Disease,D003316
2750,Myocardial ischaemia,Disease,D017202
2751,Sle,Disease,D008180
2752,Renal involvement,Disease,D007674
2753,Cq,Chemical,D002738
2754,Arthralgia,Disease,D018771
2755,Myositis,Disease,D009220
2756,Muscular weakness,Disease,D018908
2757,Muscular atrophy,Disease,D009133
2758,Polymyositis,Disease,D017285
2759,Affection of the musculoskeletal system,Disease,D009140
2760,Adenovirus disease,Disease,D000257
2761,Cidofovir,Chemical,C059262
2762,Guanosine,Chemical,D006151
2763,Respiratory syncytial virus infection,Disease,D018357
2764,Hepatitis c,Disease,D006526
2765,Infection with hemorrhagic fever viruses,Disease,D006482
2766,Adenovirus infection,Disease,D000257
2767,Digeorge syndrome,Disease,D004062
2768,Progressive renal failure,Disease,D058186
2769,Immunodeficiency,Disease,D007153
2770,Alcoholic hepatitis,Disease,D006519
2771,Cholestatic injury,Disease,D002779
2772,Cataleptic,Disease,D002375
2773,Osteomyelitis,Disease,D010019
2774,Tenofovir disoproxil fumarate,Chemical,C418563
2775,Cerebrovascular accident,Disease,D002544
2776,Leukaemia,Disease,D007938
2777,Cerebrovascular accidents,Disease,D002544
2778,Lesions within the subcortical white matter,Disease,D056784
2779,Cytotoxic oedema within cerebral white matter,Disease,D001929
2780,Tricaine,Chemical,C003636
2781,Infected with hepatitis c virus,Disease,D006526
2782,Chronic infection with hepatitis c virus,Disease,D019698
2783,End-stage liver disease,Disease,D058625
2784,Hcv infection,Disease,D006526
2785,Interferon,Chemical,D007372
2786,Viramidine,Chemical,C026956
2787,Calcium carbonate,Chemical,D002119
2788,Milk-alkali syndrome,Disease,D006934
2789,Acute renal insufficiency,Disease,D058186
2790,Metabolic alkalosis,Disease,D000471
2791,"1,25-dihydroxyvitamin d",Chemical,C097949
2792,Pamidronate,Chemical,C019248
2793,Interferon-alpha,Chemical,D016898
2794,Riha,Disease,D000743
2795,Catatonia,Disease,D002389
2796,N-acetyl serotonin,Chemical,C006389
2797,Melatonin,Chemical,D008550
2798,Azelastine,Chemical,C020976
2799,Chlorpheniramine,Chemical,D002744
2800,Spring allergic rhinitis,Disease,D006255
2801,Chlorpheniramine maleate,Chemical,D002744
2802,Altered taste perception,Disease,D013651
2803,Seasonal allergic rhinitis,Disease,D006255
2804,Hypercalcaemia,Disease,D006934
2805,Calcium carbon-ate,Chemical,D002119
2806,Nondepolarizing neuromuscular blocking agents,Chemical,D003473
2807,Nd-nmba,Chemical,D003473
2808,Nd-nmbas,Chemical,D003473
2809,Vecuronium,Chemical,D014673
2810,"Loss of thick, myosin filaments",Disease,D009135
2811,Pathology at both the neuromuscular junction,Disease,D009468
2812,Prostaglandin e2,Chemical,D015232
2813,Bladder hyperactivity,Disease,D053201
2814,Tachykinins,Chemical,D015320
2815,Prostaglandin (pg) e2,Chemical,D015232
2816,"Rp 67,580",Chemical,C071693
2817,"Sr 48,968",Chemical,C073839
2818,Pge2,Chemical,D015232
2819,Pg,Chemical,D011453
2820,Prostanoids,Chemical,D011453
2821,Diastolic hypertension,Disease,C563897
2822,Hydrochlorothiazide,Chemical,D006852
2823,Hctc,Chemical,D006852
2824,Hctz,Chemical,D006852
2825,Coronary disease,Disease,D003327
2826,Chlorthalidone,Chemical,D002752
2827,Respiratory paralysis,Disease,D012133
2828,Thiosemicarbazide,Chemical,C005151
2829,Amino acids,Chemical,D000596
2830,Infection by hepatitis b virus,Disease,D006509
2831,Hepatitis b e antigen,Chemical,D006513
2832,Hepatitis b vaccine,Chemical,D017325
2833,Acetic acid,Chemical,D019342
2834,Prostaglandin d2,Chemical,D015230
2835,Hyperalgesic,Disease,D006930
2836,Ah6809,Chemical,C053876
2837,Atrial tachyarrhythmia,Disease,D013617
2838,Atenolol,Chemical,D001262
2839,Siat,Disease,D013617
2840,Coenzyme q10,Chemical,C024989
2841,Acute renal injury,Disease,D058186
2842,Reduced glutathione,Chemical,D005978
2843,Platinum,Chemical,D010984
2844,Selenium,Chemical,D012643
2845,Zinc,Chemical,D015032
2846,Renal tissue damage,Disease,D007674
2847,Metformin,Chemical,D008687
2848,Vascular dysfunction,Disease,D014652
2849,Kidney dysfunction,Disease,D007674
2850,Hip fracture,Disease,D006620
2851,Mental disorders,Disease,D001523
2852,Coronary artery spasm,Disease,D003329
2853,Renal cell carcinoma,Disease,D002292
2854,Subendocardial infarction,Disease,D009203
2855,Nitrates,Chemical,D009566
2856,Nicorandil,Chemical,D020108
2857,Stable angina,Disease,D060050
2858,Norfloxacin,Chemical,D009643
2859,Fluoroquinolones,Chemical,D024841
2860,Anxious behaviour,Disease,D001008
2861,Dcm,Disease,D002311
2862,Acquired immunodeficiency syndrome,Disease,D000163
2863,Cardiac and skeletal myopathies,Disease,C538496
2864,"3'-azido-2',3'-deoxythymidine",Chemical,D015215
2865,Cardiac dilation,Disease,D002311
2866,Chorea,Disease,D002819
2867,Nonketotic hyperglycinemia,Disease,D020158
2868,Disorder of amino acid metabolism,Disease,D000592
2869,Hypotonia,Disease,D009123
2870,Language delay,Disease,D007805
2871,Mental retardation,Disease,D008607
2872,Ritanserin,Chemical,D016713
2873,Dmso,Chemical,D004121
2874,Renal disease,Disease,D007674
2875,Diseased kidney,Disease,D007674
2876,Tubulointerstitial injury,Disease,Unknown
2877,Hypoxic,Disease,D000860
2878,Glomerular diseases,Disease,D007674
2879,Autoimmune diseases,Disease,D001327
2880,Systemic sclerosis,Disease,D012595
2881,Multiple sclerosis,Disease,D009103
2882,Heart damage,Disease,D006331
2883,Autoimmune disease,Disease,D001327
2884,Arteritis,Disease,D001167
2885,Fenoldopam,Chemical,D018818
2886,Low-molecular-weight heparin,Chemical,D006495
2887,Unfractionated heparin,Chemical,D006493
2888,Uh,Chemical,D006493
2889,Lmwh,Chemical,D006495
2890,Refractory seizures,Disease,D004827
2891,Calcium phosphate,Chemical,C020243
2892,Neutropenic,Disease,D009503
2893,Hematological disorders,Disease,D006402
2894,Excitotoxicity,Disease,Unknown
2895,Ka,Chemical,D007608
2896,Neurodegeneration,Disease,D019636
2897,Delayed puberty,Disease,D011628
2898,Cabergoline,Chemical,C047047
2899,Cholestatic jaundice,Disease,D041781
2900,Metformin hydrochloride,Chemical,D008687
2901,Visual field constriction,Disease,D014786
2902,Visual field loss,Disease,D014786
2903,Rapa,Chemical,D020123
2904,Facial dysmorphism,Disease,Unknown
2905,Posttransplant lymphoproliferative disorder,Disease,D008232
2906,Pneumocystis carinii pneumonia,Disease,D011020
2907,Infectious mononucleosis,Disease,D007244
2908,Bronchiolitis obliterans,Disease,D001989
2909,Aphtous ulcers,Disease,D013281
2910,Structural and functional impairment of mitochondria,Disease,D028361
2911,Cardiovascular arrhythmias,Disease,D001145
2912,Mitochondrial structural and functional impairment,Disease,D028361
2913,Chloralose,Chemical,D002698
2914,Pindolol,Chemical,D010869
2915,Methylatropine,Chemical,C006649
2916,Systemic lupus erythematodes,Disease,D008180
2917,Stillbirth,Disease,D050497
2918,Irritable bowel syndrome,Disease,D043183
2919,Disordered gastrointestinal motility,Disease,D005767
2920,Ibs,Disease,D043183
2921,Clarithromycin,Chemical,D017291
2922,Gastroenteritis,Disease,D005759
2923,Ventricular dysrhythmias,Disease,D001145
2924,Dysrhythmias,Disease,D001145
2925,Nephrogenic diabetes insipidus,Disease,D018500
2926,Head injury,Disease,D006259
2927,Polyuric,Disease,D011141
2928,Bone tumor,Disease,D001859
2929,Bone tumors,Disease,D001859
2930,Rosen's t5 or t10 protocol,Chemical,C053519
2931,Ventricular dilation,Disease,D002311
2932,Cardiac abnormalities,Disease,D006331
2933,Venous complications,Disease,D014652
2934,Hypomagnesemia,Disease,C537153
2935,Muscle spasms,Disease,D013035
2936,Glutamic acid,Chemical,D018698
2937,Digoxigenin,Chemical,D004076
2938,Cresyl violet,Chemical,C028911
2939,Neuronal degeneration,Disease,D009410
2940,Misoprostol,Chemical,D016595
2941,Bun,Chemical,D001806
2942,Renal impairment,Disease,D007674
2943,Impairment of renal reabsorption,Disease,D007674
2944,Gyki-41 099,Chemical,C025725
2945,Chlorpropanol,Chemical,C025725
2946,Tobanum,Chemical,C025725
2947,Gyki-41 900,Chemical,Unknown
2948,14c-41 099,Chemical,Unknown
2949,Oral contraception,Chemical,D003276
2950,Rheumatic fever,Disease,D012213
2951,Nh4cl,Chemical,D000643
2952,Ammonium salt,Chemical,D064751
2953,Encephalopathic,Disease,D001927
2954,Unfractionated heparin sodium,Chemical,D006493
2955,Ufh,Chemical,D006493
2956,Low-molecular weight heparin,Chemical,D006495
2957,Ptu,Chemical,D011441
2958,Turner syndrome,Disease,D014424
2959,Purpuric lesions,Disease,D011693
2960,Masseter muscle rigidity,Disease,D014313
2961,Malignant hyperthermia,Disease,D008305
2962,Jaw of steel,Disease,D014313
2963,Neurological dysfunction,Disease,D009422
2964,Asphyxia,Disease,D001237
2965,Malformations,Disease,D000014
2966,Periventricular leukomalacia,Disease,D007969
2967,Neurological dysfunctions,Disease,D009422
2968,Ventricular septal defect,Disease,D018658
2969,Ventricular septal rupture,Disease,D018658
2970,Septal rupture,Disease,D018658
2971,Droperidol,Chemical,D004329
2972,Quincke's disease,Disease,D000799
2973,Upper-airway obstruction,Disease,D000402
2974,Drug allergies,Disease,D004342
2975,Aluminum,Chemical,D000535
2976,Cyanoacrylate,Chemical,D003487
2977,Dx,Chemical,D004317
2978,Digoxin,Chemical,D004077
2979,Rheumatic heart disease,Disease,D012214
2980,Decrease in sexual desire,Disease,D020018
2981,Aminonucleoside,Chemical,D011692
2982,Fatty acids,Chemical,D005227
2983,Triacylglycerol,Chemical,D014280
2984,Acute hepatic necrosis,Disease,D017114
2985,Viral hepatitis,Disease,D006525
2986,Tolazamide,Chemical,D014042
2987,Wernicke's encephalopathy,Disease,D014899
2988,Thiamine pyrophosphate,Chemical,D013835
2989,Tpp,Chemical,D013835
2990,Wernicke-korsakoff syndrome,Disease,D020915
2991,Contralateral rotation,Disease,D009069
2992,Substantia nigra lesion,Disease,Unknown
2993,Sn lesion,Disease,Unknown
2994,Ipsilateral circling,Disease,D009069
2995,Rotational behavior,Disease,D009069
2996,Rotation,Disease,D009069
2997,Immunodeficient,Disease,C565469
2998,Anaemia,Disease,D000740
2999,3'-azido-3'dideoxythymidine,Chemical,D015215
3000,Phenylhydrazine,Chemical,C030299
3001,Phz,Chemical,C030299
3002,Reticulocytosis,Disease,D045262
3003,Iodine-125-metaiodobenzylguanidine,Chemical,D019797
3004,Radiolabeled metaiodobenzylguanidine,Chemical,D019797
3005,Mibg,Chemical,D019797
3006,Vacuolar degeneration of myocardial cells,Disease,C536522
3007,Myocardial impairment,Disease,D009202
3008,Vacuolar degeneration,Disease,C536522
3009,Amnestic syndrome,Disease,D000647
3010,Alzheimer,Disease,D000544
3011,Rauwolscine,Chemical,D015016
3012,Cirazoline,Chemical,C014282
3013,Abbott-53693,Chemical,C056299
3014,Hemiparesis,Disease,D010291
3015,Dm,Disease,D003920
3016,Occlusion of the left internal carotid artery,Disease,D001157
3017,Venous sinus thrombosis,Disease,D012851
3018,Blindness,Disease,D001766
3019,Deterioration of vision,Disease,D015354
3020,Fatiguability,Disease,D005221
3021,Retinopathy,Disease,D012164
3022,Right bundle branch block,Disease,D002037
3023,Blind,Disease,D001766
3024,Levobupivacaine,Chemical,C476513
3025,Ropivacaine,Chemical,C037663
3026,22-oxacalcitriol,Chemical,C051883
3027,Secondary hyperparathyroidism,Disease,D006962
3028,Low bone turnover,Disease,D001851
3029,Calcitriol,Chemical,D002117
3030,Suppression of bone turnover,Disease,D001851
3031,Adynamic bone disease,Disease,D001851
3032,Oct,Chemical,C051883
3033,Woven osteoid,Disease,Unknown
3034,Cerebral hemorrhage,Disease,D002543
3035,Vt,Disease,D017180
3036,Vf,Disease,D014693
3037,Visual halos or blurring,Disease,D014786
3038,Thyroid function abnormalities,Disease,D013959
3039,Pulmonary interstitial infiltrates,Disease,Unknown
3040,4-aminopyridine,Chemical,D015761
3041,Nahco3,Chemical,D017693
3042,13-cis-retinoic acid,Chemical,D015474
3043,Neuroblastoma,Disease,D009447
3044,Cis-ra,Chemical,D015474
3045,Eserine,Chemical,D010830
3046,Clonic-tonic convulsions,Disease,D004830
3047,Skin rashes,Disease,D005076
3048,Elastosis perforans serpiginosa,Disease,C536202
3049,Mellaril,Chemical,D013881
3050,Thioridazine,Chemical,D013881
3051,Thorazine,Chemical,D002746
3052,Aventyl,Chemical,D009661
3053,Nortriptyline,Chemical,D009661
3054,Elavil,Chemical,D000639
3055,Left bundle branch block,Disease,D002037
3056,Cardiac complications,Disease,D005117
3057,Muscimol,Chemical,D009118
3058,Mk-212,Chemical,C014896
3059,Kearns-sayre syndrome,Disease,D007625
3060,Polyphagia,Disease,D006963
3061,Hyperglycemia,Disease,D006943
3062,Lactic acidosis,Disease,D000140
3063,Ketosis,Disease,D007662
3064,Metabolic-endocrine failure,Disease,Unknown
3065,Crocin,Chemical,C029036
3066,Streptozocin,Chemical,D013311
3067,Carotenoids,Chemical,D002338
3068,Crocins,Chemical,C029036
3069,Stz,Chemical,D013311
3070,Neurodegenerative diseases,Disease,D019636
3071,Rosacea,Disease,D012393
3072,Eruptions,Disease,D003875
3073,Facial dermatitis,Disease,D005148
3074,Telangiectasia,Disease,D013684
3075,Pimecrolimus,Chemical,C117268
3076,Poly-l-lactid acid,Chemical,Unknown
3077,Tacrine,Chemical,D013619
3078,Hippocampal damage,Disease,D001930
3079,Damage of neuronal cells,Disease,D001930
3080,Aconitine,Chemical,D000157
3081,Arrhythmic,Disease,D001145
3082,4-diphenylacetoxy-n-methylpiperidine-methiodide,Chemical,C042375
3083,Alcohol dependence,Disease,D000437
3084,Paraesthesia,Disease,D010292
3085,Scotomata,Disease,D012607
3086,Hepatitis b virus (hbv) infection,Disease,D006509
3087,Liver cirrhosis,Disease,D008103
3088,Barbiturate,Chemical,C032232
3089,Narcosis,Disease,D053608
3090,Sodium thiopenthal,Chemical,D013874
3091,Nik-247,Chemical,C049860
3092,E-2020,Chemical,C076946
3093,Tramadol,Chemical,D014147
3094,Dosulepine hydrochloride,Chemical,D004308
3095,Tetraparetic,Disease,Unknown
3096,Injury to different regions of the kidney,Disease,D007674
3097,Acute experimental models of renal damage,Disease,D058186
3098,Hexachloro-1:3-butadiene,Chemical,C001335
3099,Hcbd,Chemical,C001335
3100,2-bromoethylamine,Chemical,C004504
3101,Bea,Chemical,C004504
3102,Protein excretion,Disease,D011507
3103,Glomerular damage,Disease,D007674
3104,Excretion of proteins,Disease,D011507
3105,Magnesium sulfate,Chemical,D008278
3106,Coronary thrombosis,Disease,D003328
3107,Radiation injury,Disease,D011832
3108,Hepatonecrosis,Disease,Unknown
3109,Cholangitis,Disease,D002761
3110,Pb,Chemical,D010634
3111,Bronchopneumonia,Disease,D001996
3112,Liver damage,Disease,D008107
3113,Chronic hepatic enzyme dysfunction,Disease,D056487
3114,Bitemporal hemianopia,Disease,D006423
3115,"Loss of central visual acuity, colour vision (ishihara) and visual field",Disease,D014786
3116,Loss of visual function,Disease,D014786
3117,Nimesulide,Chemical,C012655
3118,Nsaid,Chemical,D000894
3119,Nonsteroidal anti-inflammatory drugs,Chemical,D000894
3120,Nsaids,Chemical,D000894
3121,Af,Disease,D001281
3122,Nadolol,Chemical,D009248
3123,Pulmonary-renal syndrome,Disease,C538458
3124,Hemoptysis,Disease,D006469
3125,Ventricular arrhythmia,Disease,D001145
3126,Ivmp,Chemical,D008775
3127,Myelodysplasia,Disease,D009190
3128,Macrocytic anemia,Disease,D000748
3129,Myelodysplastic,Disease,D009190
3130,Hyperplastic marrow,Disease,D001855
3131,Dysmyelopoiesis,Disease,D009190
3132,Hypocellular marrow,Disease,D001855
3133,Dyserythropoiesis,Disease,Unknown
3134,Hemosiderosis,Disease,D006486
3135,Nad,Chemical,D009243
3136,Nicotinic acid amide,Chemical,D009536
3137,Poly(adp-ribose),Chemical,D011064
3138,Liver injuries,Disease,D056486
3139,Oxaloacetate,Chemical,D062907
3140,Pyruvate,Chemical,D019289
3141,Naa,Chemical,D009536
3142,Cibenzoline,Chemical,C032151
3143,Digitalis,Chemical,D004071
3144,Tocainide,Chemical,D016677
3145,Glomerular disease,Disease,D007674
3146,Membranous glomerulonephritis,Disease,D015433
3147,Diatrizoate,Chemical,D003973
3148,Renografin 76%,Chemical,C027278
3149,Hypaque 76%,Chemical,C027278
3150,Renografin,Chemical,D003974
3151,Disodium edetate,Chemical,D004492
3152,Hypaque,Chemical,D003973
3153,Calcium disodium edetate,Chemical,D004492
3154,Prothrombin complex concentrate,Chemical,C025667
3155,Pcc,Chemical,C025667
3156,Growth impairment,Disease,D006130
3157,Reduced cerebellar growth,Disease,D006130
3158,Decreased cranial to body growth,Disease,D006130
3159,Overactive bladder,Disease,D053201
3160,Tolterodine,Chemical,C099041
3161,Oab,Disease,D053201
3162,Nocturia,Disease,D053158
3163,Dry month,Disease,D014987
3164,Neurovascular complications,Disease,D013901
3165,Aneurysmal,Disease,D017542
3166,Gastric lymphoma,Disease,C535648
3167,Myotonic dystrophy,Disease,D009223
3168,Steinert's disease,Disease,D009223
3169,Muscular dystrophy,Disease,D009136
3170,Renal cell cancer,Disease,D002292
3171,"(rs)-1-aminoindan-1,5-dicarboxylic acid",Chemical,C095756
3172,Aida,Chemical,C095756
3173,"(2r,4r)-4-aminopyrrolidine-2,4-dicarboxylate",Chemical,C097299
3174,"2r,4r-apdc",Chemical,C097299
3175,Dipyrone,Chemical,D004177
3176,Tension-type headache,Disease,D018781
3177,Primary headaches,Disease,D051270
3178,Coronary artery stenosis,Disease,D023921
3179,Coronary spastic angina,Disease,D000788
3180,Anginal,Disease,D000787
3181,Lead,Chemical,D007854
3182,Nitrotyrosine,Chemical,C002744
3183,Lead acetate,Chemical,C008261
3184,Mda,Chemical,D008315
3185,Fenfluramine,Chemical,D005277
3186,Dexfenfluramine,Chemical,D020372
3187,Valvular disease,Disease,D006349
3188,Valvular abnormalities,Disease,D006349
3189,Valvulopathy,Disease,D006349
3190,Phentermine,Chemical,D010645
3191,Bicuspid aortic valve,Disease,C562388
3192,Aortic insufficiency,Disease,D001022
